TICKER,Sector,Industry
AKTS,Information Technology,Computers Electronics
CRSWF,Financials,Diversified Financials
FSV,Real Estate,Real Estate
GNL,Real Estate,Real Estate
BPXXY,Financials,Banks
DTEA,Consumer Discretionary,Specialty Stores
EVH,Health Care,Health Crare Equipment & Technology
RSSFF,Industrials,Construction & Farm Machinery
LCLP,Communication Services,Media
SIOX,Health Care,Biotechnology Life Sciences
ALTA,Financials,Banks
FRSHY,Real Estate,Real Estate
WING,Consumer Discretionary,Restaurants
LOGX,Real Estate,Real Estate
CABO,Communication Services,Media
BLD,Consumer Discretionary,Homebuilding
CC,Materials,Chemicals
GPP,Energy,Coal & Consumable Fuels 
YECO,Health Care,Biotechnology Life Sciences
CLABF,Health Care,Pharmaceuticals
PIRS,Health Care,Biotechnology Life Sciences
HZN,Consumer Discretionary,Auotomobiles & Components
VLMGF,Materials,Precious Metals Gold Mining 
ASCK,Consumer Discretionary,Homebuilding
QLGN,Health Care,Biotechnology Life Sciences
CYAD,Health Care,Biotechnology Life Sciences
BMXCD,Consumer Discretionary,Distributors Multiline Retail
BW,Industrials,Electrical Equipment
FVCB,Financials,Banks
LTCCF,Information Technology,Communications Equipment
PTCO,Industrials,Commercial & Professional Services
GKOS,Health Care,Health Crare Equipment & Technology
TRU,Industrials,Commercial & Professional Services
CATB,Health Care,Biotechnology Life Sciences
CLSH,Health Care,Pharmaceuticals
IINX,Information Technology,Computers Electronics
MCRB,Health Care,Biotechnology Life Sciences
ENR,Consumer Staples,Household & Personal Products
ALRM,Information Technology,Software
APPF,Information Technology,Software
VBIV,Health Care,Biotechnology Life Sciences
OLLI,Consumer Discretionary,Distributors Multiline Retail
JP,Financials,Diversified Financials
CHMA,Health Care,Pharmaceuticals
RPD,Information Technology,Software
OOMA,Communication Services,Diversified Telecommunication Services
BLBX,Information Technology,Software
SPNE,Health Care,Health Crare Equipment & Technology
LILAK,Communication Services,Diversified Telecommunication Services
LILA,Communication Services,Diversified Telecommunication Services
CFMS,Health Care,Health Crare Equipment & Technology
TDOC,Health Care,Health Crare Equipment & Technology
FPVD,Consumer Discretionary,Household Durables (non-Homebuilding)
NTRA,Health Care,Biotechnology Life Sciences
UFAB,Consumer Discretionary,Auotomobiles & Components
